Placa	Família Segmento	Data Entrada Veículo	Veículo Modelo	Tipo Manutenção Oficina	Grupo Peça	Ano Fab/Mod	Dias na Oficina	Valor Total	MARCA	MODELO	PORTE	COMBUSTÍVEL	Idade na Manut	Classificação idade na Manut
HMG0428	LEVE	01/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	MÃO DE OBRA	2008	42	80.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0428	LEVE	01/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	SUSPENSAO	2008	42	561.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0428	LEVE	01/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	SUSPENSAO	2008	42	200.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0428	LEVE	01/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	TRANSMISSAO	2008	42	1250.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0848	PICKUP LEVE	04/04/2022	TORO FREEDOM AT9 D	CORRETIVA	ELETRICA	2019	0	795.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	GASOLINA	3	ATÉ 5 ANOS
HMG1389	PICKUP LEVE	04/04/2022	DOBLO CARGO FLEX	CORRETIVA	FREIO	2007	0	278.2	FIAT	DOBLO CARGO FLEX	UTILITÁRIO	GASOLINA	15	MAIOR 10 ANOS
HMG1078	PICKUP LEVE	04/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MOTOR	2019	4	198.7	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0375	PICKUP PESADA	04/04/2022	L200 TRITON 3.2 D	CORRETIVA	ELETRICA	2013	0	998.0	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0379	PICKUP PESADA	04/04/2022	L200 TRITON 3.2 D	CORRETIVA	ELETRICA	2013	0	998.0	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0968	PICKUP LEVE	04/04/2022	TORO FREEDOM AT9 D	CORRETIVA	ELETRICA	2019	0	795.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0968	PICKUP LEVE	04/04/2022	TORO FREEDOM AT9 D	CORRETIVA	FREIO	2019	0	239.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0812	PICKUP LEVE	07/04/2022	TORO FREEDOM AT9 D	CORRETIVA	AR CONDICIONADO	2019	61	52.2	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0812	PICKUP LEVE	07/04/2022	TORO FREEDOM AT9 D	CORRETIVA	FREIO	2019	61	450.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0812	PICKUP LEVE	07/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MOTOR	2019	61	760.12	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0812	PICKUP LEVE	07/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MÃO DE OBRA	2019	61	105.6	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0812	PICKUP LEVE	07/04/2022	TORO FREEDOM AT9 D	CORRETIVA	SUSPENSAO	2019	61	2492.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0812	PICKUP LEVE	07/04/2022	TORO FREEDOM AT9 D	CORRETIVA	SUSPENSAO	2019	61	1258.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	ACESSORIOS	2013	46	167.4	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	AR CONDICIONADO	2013	46	583.4	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	AR CONDICIONADO	2013	46	179.2	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	AR CONDICIONADO	2013	46	96.0	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	ELETRICA	2013	46	922.0	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	ELETRICA	2013	46	833.6	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	FREIO	2013	46	329.0	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	FREIO	2013	46	248.0	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	FREIO	2013	46	323.0	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	MOTOR	2013	46	3583.32	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	MÃO DE OBRA	2013	46	99.84	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	PRODUTOS	2013	46	56.4	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	SUSPENSAO	2013	46	1294.0	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	SUSPENSAO	2013	46	454.0	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	SUSPENSAO	2013	46	358.0	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0070	LEVE	07/04/2022	PAJERO DAKAR D	CORRETIVA	SUSPENSAO	2013	46	1518.8	MITSUBISHI	PAJERO DAKAR D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0834	PICKUP LEVE	08/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MÃO DE OBRA	2019	11	191.36	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0501	PICKUP PESADA	19/04/2022	L200 TRITON 3.2 D	CORRETIVA	FREIO	2013	3	238.0	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0501	PICKUP PESADA	19/04/2022	L200 TRITON 3.2 D	CORRETIVA	MOTOR	2013	3	629.0	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0501	PICKUP PESADA	19/04/2022	L200 TRITON 3.2 D	CORRETIVA	SUSPENSAO	2013	3	3030.0	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0826	PICKUP PESADA	19/04/2022	RANGER XLTCD4A32C	CORRETIVA	MOTOR	2018	0	469.0	FORD	RANGER XLTCD4A32C	UTILITÁRIO	DIESEL	4	ATÉ 5 ANOS
HMG0747	LEVE	19/04/2022	BLAZER ADVANTAGE	CORRETIVA	ELETRICA	2009	0	512.5	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG1104	LEVE	19/04/2022	BLAZER ADVANTAGE	CORRETIVA	ELETRICA	2011	3	472.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG1104	LEVE	19/04/2022	BLAZER ADVANTAGE	CORRETIVA	SUSPENSAO	2011	3	66.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0834	PICKUP LEVE	20/04/2022	TORO FREEDOM AT9 D	CORRETIVA	ELETRICA	2019	0	819.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0808	PICKUP LEVE	19/04/2022	TORO FREEDOM AT9 D	CORRETIVA	ELETRICA	2019	0	149.6	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0808	PICKUP LEVE	19/04/2022	TORO FREEDOM AT9 D	CORRETIVA	FREIO	2019	0	166.4	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0808	PICKUP LEVE	19/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MOTOR	2019	0	510.2	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG1207	PICKUP PESADA	20/04/2022	TRITON SPORT GLS AP	CORRETIVA	ACESSORIOS	2020	14	60.1	MITSUBISHI	TRITON SPORT GLS AP	UTILITÁRIO	DIESEL	2	NOVO
HMG1207	PICKUP PESADA	20/04/2022	TRITON SPORT GLS AP	CORRETIVA	AR CONDICIONADO	2020	14	165.87	MITSUBISHI	TRITON SPORT GLS AP	UTILITÁRIO	DIESEL	2	NOVO
HMG1207	PICKUP PESADA	20/04/2022	TRITON SPORT GLS AP	CORRETIVA	MOTOR	2020	14	1222.93	MITSUBISHI	TRITON SPORT GLS AP	UTILITÁRIO	DIESEL	2	NOVO
HMG1207	PICKUP PESADA	20/04/2022	TRITON SPORT GLS AP	CORRETIVA	PRODUTOS	2020	14	55.77	MITSUBISHI	TRITON SPORT GLS AP	UTILITÁRIO	DIESEL	2	NOVO
HMG1623	PICKUP LEVE	25/04/2022	TORO ENDURANCE MT5	CORRETIVA	AR CONDICIONADO	2020	23	47.2	FIAT	TORO ENDURANCE MT5	UTILITÁRIO	GASOLINA	2	NOVO
HMG1623	PICKUP LEVE	25/04/2022	TORO ENDURANCE MT5	CORRETIVA	MOTOR	2020	23	363.6	FIAT	TORO ENDURANCE MT5	UTILITÁRIO	GASOLINA	2	NOVO
HMG1623	PICKUP LEVE	25/04/2022	TORO ENDURANCE MT5	CORRETIVA	MÃO DE OBRA	2020	23	128.0	FIAT	TORO ENDURANCE MT5	UTILITÁRIO	GASOLINA	2	NOVO
HMG1197	PICKUP LEVE	25/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MOTOR	2019	49	744.93	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG1197	PICKUP LEVE	25/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MÃO DE OBRA	2019	49	128.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG1625	PICKUP PESADA	25/04/2022	L200 TRITON SPO GL	CORRETIVA	AR CONDICIONADO	2020	35	166.0	MITSUBISHI	L200 TRITON SPO GL	UTILITÁRIO	DIESEL	2	NOVO
HMG1625	PICKUP PESADA	25/04/2022	L200 TRITON SPO GL	CORRETIVA	FREIO	2020	35	70.0	MITSUBISHI	L200 TRITON SPO GL	UTILITÁRIO	DIESEL	2	NOVO
HMG1625	PICKUP PESADA	25/04/2022	L200 TRITON SPO GL	CORRETIVA	FREIO	2020	35	560.16	MITSUBISHI	L200 TRITON SPO GL	UTILITÁRIO	DIESEL	2	NOVO
HMG1625	PICKUP PESADA	25/04/2022	L200 TRITON SPO GL	CORRETIVA	MOTOR	2020	35	994.11	MITSUBISHI	L200 TRITON SPO GL	UTILITÁRIO	DIESEL	2	NOVO
HMG1625	PICKUP PESADA	25/04/2022	L200 TRITON SPO GL	CORRETIVA	MÃO DE OBRA	2020	35	80.0	MITSUBISHI	L200 TRITON SPO GL	UTILITÁRIO	DIESEL	2	NOVO
HMG1625	PICKUP PESADA	25/04/2022	L200 TRITON SPO GL	CORRETIVA	PRODUTOS	2020	35	205.0	MITSUBISHI	L200 TRITON SPO GL	UTILITÁRIO	DIESEL	2	NOVO
HMG1338	PICKUP LEVE	25/04/2022	TORO FREEDOM AT9 D	CORRETIVA	ELETRICA	2019	71	32.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0881	PICKUP PESADA	25/04/2022	RANGER XLTCD4A32C	CORRETIVA	FREIO	2018	8	244.0	FORD	RANGER XLTCD4A32C	UTILITÁRIO	DIESEL	4	ATÉ 5 ANOS
HMG0881	PICKUP PESADA	25/04/2022	RANGER XLTCD4A32C	CORRETIVA	MOTOR	2018	8	618.8	FORD	RANGER XLTCD4A32C	UTILITÁRIO	DIESEL	4	ATÉ 5 ANOS
HMG0881	PICKUP PESADA	25/04/2022	RANGER XLTCD4A32C	CORRETIVA	MÃO DE OBRA	2018	8	128.0	FORD	RANGER XLTCD4A32C	UTILITÁRIO	DIESEL	4	ATÉ 5 ANOS
HMG1386	PICKUP LEVE	26/04/2022	TORO FREEDOM AT9 D	CORRETIVA	ACESSORIOS	2019	35	69.2	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG1386	PICKUP LEVE	26/04/2022	TORO FREEDOM AT9 D	CORRETIVA	FREIO	2019	35	294.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG1386	PICKUP LEVE	26/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MOTOR	2019	35	722.4	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG1386	PICKUP LEVE	26/04/2022	TORO FREEDOM AT9 D	CORRETIVA	MÃO DE OBRA	2019	35	181.76	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG1386	PICKUP LEVE	26/04/2022	TORO FREEDOM AT9 D	CORRETIVA	SUSPENSAO	2019	35	5880.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
HMG0442	LEVE	23/02/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	SUSPENSAO	2008	69	84.2	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0442	LEVE	23/02/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	SUSPENSAO	2008	69	96.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	ACESSORIOS	2011	55	45.86	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	AR CONDICIONADO	2011	55	157.03	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	ELETRICA	2011	55	38.78	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	FREIO	2011	55	134.64	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	FREIO	2011	55	99.64	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	MOTOR	2011	55	1194.62	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	MOTOR	2011	55	328.71	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	MÃO DE OBRA	2011	55	202.32	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	PRODUTOS	2011	55	234.64	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	PRODUTOS	2011	55	48.0	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	SUSPENSAO	2011	55	544.96	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	SUSPENSAO	2011	55	862.64	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	SUSPENSAO	2011	55	259.28	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	SUSPENSAO	2011	55	371.92	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	TRANSMISSAO	2011	55	221.32	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0882	LEVE	27/04/2022	DOBLO HLX 1.8 FLEX	CORRETIVA	TRANSMISSAO	2011	55	161.6	FIAT	DOBLO HLX 1.8 FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0973	LEVE	27/04/2022	BLAZER ADVANTAGE	CORRETIVA	ELETRICA	2009	21	667.25	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG0116	LEVE	29/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	ACESSORIOS	2009	42	143.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG0116	LEVE	29/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	ACESSORIOS	2009	42	68.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG0116	LEVE	29/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	ELETRICA	2009	42	451.2	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG0116	LEVE	29/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	MOTOR	2009	42	324.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG0116	LEVE	29/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	MÃO DE OBRA	2009	42	96.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG0116	LEVE	29/04/2022	ECOSPORT XL 2.0FLEX	CORRETIVA	SUSPENSAO	2009	42	2532.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG0851	PICKUP LEVE	02/05/2022	TORO FREEDOM AT9 D	CORRETIVA	AR CONDICIONADO	2019	23	40.0	FIAT	TORO FREEDOM AT9 D	UTILITÁRIO	DIESEL	3	ATÉ 5 ANOS
